mic1,mic2,mic3,mic4,mic5,angle
214.9,231.49,266.47,186.25,204.1,0
234.55,244.41,272.94,195.22,217.2,0
215.4,226.76,252.89,177.9,200.61,0
154.73,165.68,185.77,126.79,144.86,0
103.7,110.13,123.24,85.53,100.22,0
99.3,102.66,110.7,84.08,100.59,0
138.84,133.66,140.72,111.77,140.95,0
157.56,148.17,154,123.36,160.82,0
131,126.09,132.25,107.65,137.95,0
94.9,95.45,102.49,83.19,102.12,0
70.33,72.76,78.35,61.35,73.14,0
62.04,61.16,66.71,47.55,59.44,0
58.44,55.83,59.91,40.36,51.58,0
50.58,48.98,53.02,35.88,45.57,0
46,45.88,49.9,34.03,42.91,0
43.85,45.22,49.71,34.25,41.99,0
42.96,45.35,52.48,33.65,42.71,0
43.46,43.27,51.29,32.15,41.42,0
43,40.51,46.61,31.12,39.78,0
39.89,40.27,44.65,31.3,39.17,0
58.83,60.46,64.9,48.85,64.19,0
96.2,104.23,111.08,80.48,107.61,0
121.45,134,140.69,93.64,118.07,0
143.94,151.69,164.26,109.35,137.64,0
191.54,195.59,232.03,171.34,210.01,0
266.11,259.61,294.65,243.13,304.91,0
319.84,296.85,300.31,264.34,371.17,0
307.73,280.19,272.67,229.04,345.99,0
331.76,312.13,307.73,236.43,329.5,0
438.02,424.66,425.24,340.93,452.85,0
488.45,481.96,520.03,434.67,579.62,0
430.62,436.8,488.7,417.86,578.61,0
308.64,325.02,354.25,310.35,455.44,0
196.94,214.09,234.84,200.69,290.04,0
136.01,146.87,158.18,130.08,183.16,0
122.38,132.35,142.32,109.72,150.81,0
136.54,147.96,166.55,116.31,154.25,0
169.51,174.04,190.43,133.85,172.3,0
217.32,213.94,221.54,166.91,223.79,0
233.9,227.83,226.78,191.1,266.44,0
188.77,185.12,179.79,177.19,241.85,0
133.42,131.75,129.93,132.39,178.81,0
131.3,124.22,128.53,120.49,172.21,0
135.7,130.81,144.05,133.4,196.73,0
129.39,130.42,145.7,130.82,197.58,0
131.83,127.83,146.08,121.34,188.22,0
114.94,108.79,129.31,102.53,152.97,0
162.78,155.5,171.95,136.22,182.63,0
283.85,262.6,271.18,217.87,301.86,0
354.44,314.91,316.76,257.86,361.93,0
330.09,297.02,299.66,244.06,331.6,0
249.72,235.81,241.25,193.11,266.05,0
206.35,198.61,208.38,158.4,218.22,0
232.24,216.49,228.76,182.83,261.86,0
261.77,243.51,259.23,214.71,311.41,0
227.22,221.51,236.41,190.7,271.53,0
154.92,156.48,166.65,134.19,192.87,0
