mic1,mic2,mic3,mic4,mic5,angle
140.48,131.04,150.34,115.15,156.37,0
190.93,168.07,191.53,137.79,206.16,0
202.2,171.15,187.69,135.74,215.64,0
192.78,168.92,184.25,131.56,213.9,0
200.77,176.85,186.76,135.12,231.64,0
251.56,216.84,221.54,164.47,264.56,0
389.23,343.14,348.22,282.82,401.51,0
497.17,447.06,465.73,385.46,539.92,0
452.39,422.65,465.86,373.53,499.56,0
310.68,304.01,342.1,282.19,346.06,0
214.73,208.86,231.37,196.52,239.89,0
211.04,199.36,211.59,173.56,225.6,0
244.96,223.1,225.17,175.44,252.56,0
296.38,257.95,248.52,185.27,309.67,0
356.92,323.72,296.8,235.34,402.34,0
388.99,390.55,391.56,348.49,537.01,0
386.37,389.33,442.93,403.24,582.19,0
351.77,350.45,425.99,361.29,485.76,0
286.62,290.71,361.21,291.82,379.01,0
247.83,238.25,292.98,231.43,325.94,0
243.61,219.01,254.98,196.56,298,0
241.41,214.94,233,178.6,267.16,0
233.8,219.75,224.15,171.14,268.28,0
228.4,217.48,232.21,183.27,280.58,0
254.98,258.37,289.96,238.36,302.53,0
262.64,280.66,333.49,274.53,337.18,0
276.44,281.3,337.8,265.91,361.24,0
270.25,257.97,289.37,229.61,345.11,0
197.46,184.12,206.72,168.36,270.71,0
238.6,220.4,242.47,206.92,318.18,0
339.67,333.28,380.9,311.18,452.45,0
350.83,353.47,414.42,308.47,430.72,0
318.4,304,364.49,278.12,387.34,0
271.83,260.01,325.53,260.85,365.66,0
218.12,209.09,255.71,200.92,279.76,0
187.23,174.14,200.63,159.12,222.5,0
197.64,182.2,200.57,152.37,207.68,0
266.66,253.34,259.34,189.96,257.32,0
439.18,375.82,402.37,328.87,474.23,0
567.71,452.88,510.49,449.42,687.36,0
480.35,387.68,435.19,387.78,605.19,0
313.32,254.68,286.41,251.86,383.49,0
215.63,182.4,205.17,168.74,252.49,0
194.05,177.9,189.55,140.18,210.66,0
222.72,215.96,238.53,171.41,235.69,0
261.34,246.34,266.49,193.92,281.73,0
289.86,268.17,271.75,187.98,283.06,0
286.34,265.22,277.13,201.62,302.87,0
246.26,221.13,240.01,190.8,308.19,0
191.15,172.06,190.76,155.04,245.47,0
189.17,172.75,200.2,167.45,258.15,0
204.39,182.91,221.62,190.66,290.59,0
169.3,154.5,179.73,157.6,233.65,0
191.63,174.58,195.87,168.55,247.44,0
253.24,231.44,268.37,222.79,333.53,0
238.31,224.06,255.76,205.2,312.24,0
203.97,193.19,213.8,165.9,240.17,0
212.59,205.05,219.16,163.32,207.58,0
226.41,225.35,246.57,177.51,224.27,0
203.27,203.67,240.08,173.68,238.01,0
188.32,181.12,215.42,161.88,220.31,0
213.27,205.2,240.08,177,248.61,0
281.99,270.61,301.24,223.62,349.44,0
349.89,327.69,342,255.12,414.25,0
341.57,318.75,327.18,230.2,378.27,0
288.95,262.22,263.74,182.77,304.75,0
212,185.14,179.96,133.87,221.2,0
225.38,221.41,231.61,165.01,225.89,0
338.75,350.54,387.42,323.5,440.85,0
363.25,372.28,418.06,390.2,569.54,0
282.33,284.41,314.28,288.5,428.71,0
186.31,181.42,194.38,175.43,255.3,0
