mic1,mic2,mic3,mic4,mic5,angle
621.58,591.10,659.56,517.81,702.77,0
757.81,723.97,784.32,691.22,848.95,0
738.54,697.69,751.41,705.94,831.52,0
662.26,606.99,678.54,605.80,786.33,0
766.36,727.00,779.17,694.35,861.71,0
885.72,845.34,851.52,803.43,935.72,0
763.22,747.88,742.98,678.20,806.76,0
698.57,701.32,687.53,581.52,738.51,0
749.22,712.64,673.65,559.28,795.64,0
713.25,636.79,604.97,553.65,821.87,0
685.88,613.94,581.56,570.31,835.56,0
553.02,527.43,523.20,466.65,661.26,0
362.48,368.01,404.29,332.95,438.81,0
305.60,320.91,355.38,264.36,348.54,0
361.01,369.96,413.77,272.32,366.93,0
332.80,336.27,382.56,246.11,334.93,0
230.10,232.87,258.94,168.36,230.02,0
146.14,147.59,161.67,106.99,146.10,0
110.22,108.58,117.84,80.94,107.80,0
248.53,240.74,262.55,195.72,275.48,0
469.40,443.35,498.24,357.45,553.51,0
547.62,476.65,510.55,367.52,609.92,0
461.98,386.45,380.72,290.29,479.43,0
331.94,293.24,295.75,226.32,358.26,0
467.04,443.97,448.87,396.62,486.75,0
730.46,716.75,718.11,687.25,739.31,0
769.21,779.74,800.29,706.02,758.29,0
585.51,620.65,665.09,525.76,580.29,0
362.47,393.95,436.27,343.95,376.71,0
332.84,351.42,386.89,274.41,332.39,0
438.58,438.96,490.70,323.22,437.86,0
471.77,458.34,510.92,330.05,456.82,0
493.63,467.02,490.40,319.98,461.92,0
610.71,554.75,547.82,390.04,602.76,0
676.83,638.78,646.16,480.38,726.71,0
745.04,741.20,771.11,636.54,815.06,0
875.07,872.59,888.67,817.25,898.94,0
839.89,816.84,822.61,787.01,851.87,0
642.72,602.96,600.95,582.37,658.54,0
643.09,616.37,613.17,599.65,648.48,0
822.82,809.11,806.72,798.95,824.67,0
912.79,900.86,906.06,889.58,916.15,0
902.13,895.19,929.46,852.72,935.92,0
727.56,715.57,788.91,674.28,785.83,0
601.31,563.73,640.02,535.73,677.86,0
586.82,547.37,644.55,501.44,665.49,0
545.07,521.13,630.66,456.76,597.84,0
465.91,450.31,526.83,380.14,520.70,0
367.94,355.26,415.51,296.64,426.18,0
272.11,265.25,313.19,215.53,316.84,0
170.93,169.98,204.57,137.11,199.30,0
107.85,104.73,126.60,86.61,121.23,0
74.70,70.43,84.72,61.22,80.00,0
54.28,51.58,62.86,47.49,58.48,0
44.82,41.50,50.26,38.17,44.87,0
95.11,90.75,98.90,63.43,83.42,0
222.95,201.31,206.52,148.81,228.80,0
297.80,263.80,259.58,194.56,312.57,0
355.03,322.22,334.13,238.28,376.84,0
515.90,461.97,501.65,380.86,545.93,0
667.99,638.41,675.85,543.25,710.91,0
742.34,744.35,767.72,644.01,827.85,0
675.24,666.49,687.05,569.42,733.74,0
504.20,494.37,535.23,411.44,526.84,0
404.66,411.72,478.70,351.47,455.44,0
399.32,432.89,493.19,339.53,437.54,0
389.13,417.88,447.68,297.68,391.38,0
321.41,329.01,342.89,230.42,322.35,0
