mic1,mic2,mic3,mic4,mic5,angle
45.43,43.93,48.03,41.07,56.57,81
123.39,116.87,124.75,108.21,153.36,81
231.98,224.03,234.36,192.97,270.08,81
300.12,289.52,299.21,225.02,314.51,81
301.02,289.75,307.96,234.57,327.65,81
265.87,250.66,279.29,226.41,333.32,81
233.90,217.83,252.62,194.90,300.18,81
175.14,170.58,204.03,156.22,231.48,81
118.18,116.75,137.56,115.24,160.49,81
115.22,109.70,128.69,105.08,139.70,81
174.16,170.32,187.40,161.94,215.14,81
258.71,259.34,268.01,237.99,327.43,81
294.23,297.66,305.78,290.35,383.17,81
285.99,295.67,301.34,310.02,375.20,81
320.90,334.56,369.79,326.03,384.19,81
361.59,391.90,471.49,376.70,460.84,81
384.26,419.44,525.52,448.32,578.77,81
417.36,475.65,588.14,521.80,664.22,81
376.55,460.52,543.37,479.58,592.64,81
290.47,346.96,415.06,360.25,460.85,81
233.35,258.53,327.54,278.37,370.80,81
192.30,200.66,253.17,214.61,282.92,81
171.60,174.29,208.15,179.89,228.69,80
143.34,146.18,167.44,144.56,180.55,81
107.08,109.28,122.52,100.55,128.17,81
74.77,74.96,84.02,66.58,86.73,81
53.36,53.46,57.96,46.94,58.65,81
41.48,41.77,43.63,36.45,42.32,81
34.79,34.23,35.20,31.21,32.85,80
32.02,30.29,32.72,28.24,29.33,81
31.06,28.24,32.37,26.93,29.41,81
31.27,27.89,32.91,26.25,28.26,81
31.38,27.22,32.71,24.69,26.70,81
30.48,25.44,30.46,25.08,28.04,81
30.49,25.23,27.85,24.80,28.02,81
31.45,27.51,25.77,24.18,25.86,81
30.76,28.70,25.16,24.33,24.73,81
29.20,28.84,27.00,25.37,26.06,81
28.39,28.68,28.67,25.67,27.70,80
28.20,27.16,28.83,24.63,26.41,81
28.82,27.08,28.19,25.53,24.78,81
29.62,27.76,27.86,25.75,25.12,81
29.33,28.11,28.17,24.20,24.83,81
27.97,27.82,28.33,23.15,23.71,81
27.03,28.15,29.84,24.27,24.81,81
27.73,28.08,30.40,26.29,25.86,81
29.53,28.04,29.49,27.11,26.40,81
29.52,28.26,29.02,26.82,27.41,81
117.00,101.29,135.63,124.20,157.98,81
319.01,311.76,413.59,343.80,449.16,81
358.69,371.16,473.31,382.62,495.70,81
402.34,389.97,451.41,407.66,507.32,81
623.79,596.29,604.45,591.90,723.75,81
624.84,617.19,605.19,577.36,725.78,81
483.40,472.95,489.40,428.50,568.83,81
570.70,558.79,573.35,519.34,621.02,81
721.45,730.06,782.36,742.70,804.37,81
727.93,729.55,828.33,795.91,841.49,81
678.48,674.54,770.32,727.11,819.26,81
644.54,642.49,729.05,664.42,837.07,81
546.51,540.18,630.77,551.86,737.59,81
497.50,478.89,525.22,435.51,624.23,81
552.96,528.67,518.90,436.46,664.76,81
521.66,493.69,472.33,410.18,626.15,81
404.21,375.50,361.01,313.28,473.56,81
265.46,248.08,251.52,212.50,325.08,81
162.20,150.99,157.80,131.22,200.25,81
99.23,93.86,95.98,81.63,119.57,81
64.94,62.13,61.56,53.84,73.40,81
45.84,45.57,44.08,39.09,50.26,81
37.55,37.41,36.15,31.88,38.90,81
33.70,35.06,34.41,29.55,33.93,81
38.15,38.62,42.10,31.44,39.22,81
93.54,98.09,106.36,72.11,104.86,81
177.67,185.78,201.09,142.58,216.80,81
205.56,205.73,221.61,173.14,272.12,81
186.64,179.32,196.69,169.25,265.85,81
156.69,144.74,166.24,149.05,230.30,81
119.07,109.49,125.73,118.19,190.47,81
83.42,78.89,91.43,87.74,147.93,81
58.12,54.80,63.97,59.89,97.52,81
45.15,41.99,47.49,43.69,64.76,81
37.67,35.78,37.69,34.04,46.47,81
32.81,32.54,31.86,29.00,35.49,81
30.75,30.37,29.06,27.56,29.76,81
29.91,29.00,28.31,25.86,27.24,81
29.48,28.28,28.40,24.49,25.69,81
29.49,28.15,28.93,24.26,24.41,81
30.45,27.12,28.96,23.66,23.73,81
29.76,25.39,27.31,22.39,23.14,81
29.16,26.64,28.12,22.92,22.84,81
29.56,27.29,29.26,23.91,24.59,81
29.53,26.91,28.42,24.91,25.74,81
29.28,26.71,27.74,24.71,24.67,81
27.23,25.89,27.15,23.66,23.87,81
27.12,26.90,27.79,23.58,23.93,81
29.21,27.19,28.85,23.30,23.96,81
28.39,26.14,29.16,23.40,24.70,81
28.45,26.55,27.89,23.92,24.84,81
30.86,27.48,27.22,23.48,24.44,81
